country_id,country_name,powerplant_name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel_id,primary_fuel,source,url,geolocation_source,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017
1,Australia,Pelican Point,AUS0000237,4780,-34.7650,138.5053,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,29899266666666700,18679583333333300,10301158333333300,30440166666666700,12096244444444400
1,Australia,Pine Creek,AUS0000258,3476,-13.7856,131.8624,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,15879777777777800,17306722222222200,18108166666666700,19108055555555600,18101638888888900
1,Australia,Pinjar,AUS0000200,5760,-31.5568,115.8204,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,6273311111111110,44762888888888900,4640411111111110,6104527777777780,5111247222222220
1,Australia,Pinjarra Bauxite Mine and Alumina Refinery,AUS0000201,2800,-32.6473,115.9469,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,13545655555555600,12773963888888900,16390922222222200,2057255833333330,2271889166666670
1,Australia,Poatina,AUS0000121,1000,-41.8116,146.9190,4,Hydro,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2156905277777780,14688883333333300,1055098611111110,12564541666666700,7540302777777780
1,Australia,Port Lincoln,AUS0000238,735,-34.7003,135.8044,6,Oil,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,13672222222222200,7972222222222220,385,4913888888888890,22116666666666700
1,Australia,Quarantine,AUS0000239,2240,-34.7793,138.5224,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,15019333333333300,23051055555555600,21524666666666700,13515694444444400,26402805555555600
1,Australia,Ravensthorpe,AUS0000202,560,-33.6100,120.3600,6,Oil,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,17144444444444400,41555555555555600,1947222222222220,1075,1388888888888890
1,Australia,Reece,AUS0000141,2380,-41.7238,145.1359,4,Hydro,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,8252922222222220,11351483333333300,9152930555555560,7602041666666670,10313863888888900
1,Australia,Remount,AUS0000115,22,-41.3950,147.1554,3,Waste,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,1428888888888890,13991111111111100,14455277777777800,12288055555555600,12553888888888900
1,Australia,Repulse,AUS0000120,280,-42.5077,146.6470,4,Hydro,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,14140027777777800,16914333333333300,13904333333333300,12653222222222200,14424527777777800
1,Australia,Rochedale,AUS0000073,40,-27.5591,153.1236,3,Waste,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,33918055555555600,34693333333333300,33909444444444400,34435833333333300,35649166666666700
1,Australia,Rockingham,AUS0000358,21,-32.2863,115.8154,3,Waste,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,15523333333333300,1928527777777780,2149,21095277777777800,21183055555555600
1,Australia,Roma,AUS0000147,800,-26.5772,148.8402,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,38221666666666700,6663166666666670,20727444444444400,10924361111111100,4173916666666670
1,Australia,Ron Goodin,AUS0000254,446,-23.7091,133.8912,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,123045,12308305555555600,9304805555555560,8870611111111110,11387805555555600
1,Australia,Rowallan,AUS0000129,105,-41.7295,146.2176,4,Hydro,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,3895527777777780,481825,23586388888888900,29170555555555600,499175
